project,version,published_at,dependency,requirements,time_diff,next_version,next_published_at,next_requirements,cves,technical_lag
tensorflow,2.9.0,2022-05-16 20:30:48,flatbuffers,"<2,>=1.12",-369.0,2.5.0,2021-05-13 17:33:06,~=1.12.0,CVE-2020-35864,True
tensorflow,2.9.1,2022-05-23 17:27:32,flatbuffers,"<2,>=1.12",-375.0,2.5.0,2021-05-13 17:33:06,~=1.12.0,CVE-2020-35864,True
tensorflow,2.9.2,2022-09-03 02:50:03,flatbuffers,"<2,>=1.12",-478.0,2.5.0,2021-05-13 17:33:06,~=1.12.0,CVE-2020-35864,True
tensorflow,2.9.3,2022-11-16 19:29:42,flatbuffers,"<2,>=1.12",-553.0,2.5.0,2021-05-13 17:33:06,~=1.12.0,CVE-2020-35864,True
